sitio,concentracion
graysonpond,28.2
graysonpond,33.2
graysonpond,36.4
graysonpond,34.6
graysonpond,29.1
graysonpond,31
beaverlake,39.6
beaverlake,40.8
beaverlake,37.9
beaverlake,37.1
beaverlake,43.6
beaverlake,42.4
anglercove,46.3
anglercove,42.1
anglercove,43.5
anglercove,48.8
anglercove,43.7
anglercove,40.1
appletreelake,41
appletreelake,44.1
appletreelake,46.4
appletreelake,40.2
appletreelake,38.6
appletreelake,36.3
rockriver,56.3
rockriver,54.1
rockriver,59.4
rockriver,62.7
rockriver,60
rockriver,57.3
