<<<<<<< HEAD
"density","block","fertilizer","yield"
"1","1","1",177.228692278688
"2","2","1",177.550041265426
"1","3","1",176.408461852371
"2","4","1",177.703625478918
"1","1","1",177.125486343584
"2","2","1",176.778342481435
"1","3","1",176.746301895632
"2","4","1",177.061164221059
"1","1","1",176.274949297277
"2","2","1",177.967202929576
"1","3","1",176.601299834494
"2","4","1",177.030542802918
"1","1","1",177.479507160588
"2","2","1",176.874129801452
"1","3","1",176.114388315927
"2","4","1",176.008394511531
"1","1","1",176.108312589654
"2","2","1",178.35744091425
"1","3","1",177.262445084271
"2","4","1",176.918844938972
"1","1","1",176.239015775225
"2","2","1",176.573069754873
"1","3","1",176.039297939843
"2","4","1",176.817922165499
"1","1","1",176.160586502816
"2","2","1",177.226424131397
"1","3","1",175.938533030004
"2","4","1",177.16493668281
"1","1","1",175.360839598647
"2","2","1",177.276995681026
"1","3","1",175.945443795425
"2","4","1",175.882779618556
"1","1","2",176.479340919814
"2","2","2",176.0443421205
"1","3","2",177.412461749009
"2","4","2",177.360818239535
"1","1","2",177.385499180836
"2","2","2",176.975807696393
"1","3","2",177.379778689577
"2","4","2",177.99799506429
"1","1","2",176.434862565867
"2","2","2",176.933265092142
"1","3","2",175.983480169992
"2","4","2",177.034092659355
"1","1","2",176.436762368181
"2","2","2",176.06774497035
"1","3","2",177.121048632786
"2","4","2",177.197721367386
"1","1","2",176.60372408049
"2","2","2",177.208171431058
"1","3","2",177.148828595107
"2","4","2",176.819076695268
"1","1","2",176.999066949946
"2","2","2",178.134604582348
"1","3","2",176.429156002757
"2","4","2",176.668322935082
"1","1","2",176.895866859859
"2","2","2",177.779492860266
"1","3","2",176.414495002246
"2","4","2",176.878897743394
"1","1","2",177.580683078112
"2","2","2",176.957268920193
"1","3","2",175.747545582883
"2","4","2",177.352595079015
"1","1","3",177.104186398865
"2","2","3",178.079635168278
"1","3","3",176.903422145535
"2","4","3",177.540284161493
"1","1","3",177.03270969652
"2","2","3",178.28604192157
"1","3","3",176.405410230471
"2","4","3",176.430830126686
"1","1","3",177.396330635021
"2","2","3",176.92557577835
"1","3","3",177.055045778695
"2","4","3",177.344163946335
"1","1","3",177.128367531761
"2","2","3",177.168302204533
"1","3","3",176.353940642858
"2","4","3",179.060899036915
"1","1","3",176.300517050366
"2","2","3",177.59335237605
"1","3","3",177.115245241837
"2","4","3",177.794457435485
"1","1","3",177.004038102495
"2","2","3",178.036858366448
"1","3","3",177.701366283038
"2","4","3",177.632808263613
"1","1","3",177.652274608017
"2","2","3",177.100417857738
"1","3","3",177.187967031073
"2","4","3",177.405291855943
"1","1","3",178.14164435679
"2","2","3",177.710612540335
"1","3","3",177.687264356834
"2","4","3",177.118175977614
=======
﻿density,block,fertilizer,yield
1,1,1,177.2286923
2,2,1,177.5500413
1,3,1,176.4084619
2,4,1,177.7036255
1,1,1,177.1254863
2,2,1,176.7783425
1,3,1,176.7463019
2,4,1,177.0611642
1,1,1,176.2749493
2,2,1,177.9672029
1,3,1,176.6012998
2,4,1,177.0305428
1,1,1,177.4795072
2,2,1,176.8741298
1,3,1,176.1143883
2,4,1,176.0083945
1,1,1,176.1083126
2,2,1,178.3574409
1,3,1,177.2624451
2,4,1,176.9188449
1,1,1,176.2390158
2,2,1,176.5730698
1,3,1,176.0392979
2,4,1,176.8179222
1,1,1,176.1605865
2,2,1,177.2264241
1,3,1,175.938533
2,4,1,177.1649367
1,1,1,175.3608396
2,2,1,177.2769957
1,3,1,175.9454438
2,4,1,175.8827796
1,1,2,176.4793409
2,2,2,176.0443421
1,3,2,177.4124617
2,4,2,177.3608182
1,1,2,177.3854992
2,2,2,176.9758077
1,3,2,177.3797787
2,4,2,177.9979951
1,1,2,176.4348626
2,2,2,176.9332651
1,3,2,175.9834802
2,4,2,177.0340927
1,1,2,176.4367624
2,2,2,176.067745
1,3,2,177.1210486
2,4,2,177.1977214
1,1,2,176.6037241
2,2,2,177.2081714
1,3,2,177.1488286
2,4,2,176.8190767
1,1,2,176.9990669
2,2,2,178.1346046
1,3,2,176.429156
2,4,2,176.6683229
1,1,2,176.8958669
2,2,2,177.7794929
1,3,2,176.414495
2,4,2,176.8788977
1,1,2,177.5806831
2,2,2,176.9572689
1,3,2,175.7475456
2,4,2,177.3525951
1,1,3,177.1041864
2,2,3,178.0796352
1,3,3,176.9034221
2,4,3,177.5402842
1,1,3,177.0327097
2,2,3,178.2860419
1,3,3,176.4054102
2,4,3,176.4308301
1,1,3,177.3963306
2,2,3,176.9255758
1,3,3,177.0550458
2,4,3,177.3441639
1,1,3,177.1283675
2,2,3,177.1683022
1,3,3,176.3539406
2,4,3,179.060899
1,1,3,176.3005171
2,2,3,177.5933524
1,3,3,177.1152452
2,4,3,177.7944574
1,1,3,177.0040381
2,2,3,178.0368584
1,3,3,177.7013663
2,4,3,177.6328083
1,1,3,177.6522746
2,2,3,177.1004179
1,3,3,177.187967
2,4,3,177.4052919
1,1,3,178.1416444
2,2,3,177.7106125
1,3,3,177.6872644
2,4,3,177.118176
>>>>>>> 2a866e5ec33103ac11a85e188802814cb0f26504
